Location    Name
----------  ----------------------------------------
uksouth     cis-centos-7-v2-1-1-l1
uksouth     cis-centos-8-l1
uksouth     cis-debian-linux-10-l1
uksouth     cis-debian-linux-9-l1
uksouth     cis-hardened-images
uksouth     cis-nginx-centos-7-v1-1-0-l1
uksouth     cis-oracle-linux-7-v2-0-0-l1
uksouth     cis-oracle-linux-8-l1
uksouth     cis-postgresql-11-centos-linux-7-level-1
uksouth     cis-rhel-7-l2
uksouth     cis-rhel-7-stig
uksouth     cis-rhel-7-v2-2-0-l1
uksouth     cis-rhel-8-l1
uksouth     cis-rhel-8-l2
uksouth     cis-suse-linux-12-v2-0-0-l1
uksouth     cis-suse15-l1
uksouth     cis-ubuntu-linux-1804-l1
uksouth     cis-ubuntu-linux-2004-l1
uksouth     cis-ubuntu-linux-2004-stig
uksouth     cis-win-2016-stig
uksouth     cis-win-2019-stig
uksouth     cis-windows-server-2012-r2-v2-2-1-l1
uksouth     cis-windows-server-2012-r2-v2-2-1-l2
uksouth     cis-windows-server-2012-v2-0-1-l1
uksouth     cis-windows-server-2012-v2-0-1-l2
uksouth     cis-windows-server-2016-v1-0-0-l1
uksouth     cis-windows-server-2016-v1-0-0-l2
uksouth     cis-windows-server-2019-v1-0-0-l1
uksouth     cis-windows-server-2019-v1-0-0-l2
